course,college_code,college_name,type,SM,EZ,MU,LA,DV,VK,BH,BX,KN,KU,SC,ST,EW,Other Categories,page
Computer Science & Engineering (Data Science),YCE,"Younus College of Engineering and Technology, Kollam",S,65140,-,-,-,-,-,-,-,-,-,-,-,-,MM:52230,10
Computer Science and Engineering,IDK,"Government Engineering College, Idukki",G,-,10050,5856,30552,26393,8645,9503,25652,-,-,30508,47858,18437,"CC:45, FW:4107",10
Computer Science and Engineering,KNR,"Government College of Engineering, Kannur",G,3561,5585,4813,9348,12055,5208,5408,-,-,32405,21143,16602,7537,"FW:2936, PD:43629, PT:7",11
Computer Science and Engineering,KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam.",G,3149,3764,3548,5328,11435,4028,3483,12678,15277,6912,19157,47357,4705,"CC:20, FW:2152, PD:49556",11
Computer Science and Engineering,MAC,"Mar Athanasius College of Engineering, Kothamangalam",G,2286,2463,2616,5533,8311,2953,2375,11928,14545,-,15637,33860,-,"CC:21, FW:1881",11
Computer Science and Engineering,NSS,"N S S College of Engineering, Palakkad",G,3594,4923,4611,9276,12597,6794,4518,16707,24125,15784,19921,52478,7010,"FW:2725, SG:29336, XS:3826",11
Computer Science and Engineering,PKD,"Government Engineering College, Palakkad",G,3552,7202,4649,13042,12917,7172,6884,19786,6710,20495,25880,44341,8234,"FW:3405, SD:13636",11
Computer Science and Engineering,TCR,"Govt. Engineering College,Thrissur.",G,947,1288,1051,4605,4586,1224,962,9522,4645,9593,8152,22632,2231,"CC:11, FW:814, PD:33336",11
Computer Science and Engineering,TKM,"T K M College of Engineering, Kollam.",G,1596,1818,1753,3568,8878,2079,2091,3102,9261,15551,13465,30898,-,"CC:12, FW:1034, PD:33740, RP:4089",11
Computer Science and Engineering,TVE,"College of Engineering,Thiruvananthapuram.",G,584,890,750,2086,1016,808,749,1495,4021,2593,7027,13156,1452,"CC:1, FW:452, PD:27362",11
Computer Science and Engineering,WYD,"Government Engineering College, Wayanad",G,-,11014,5802,35933,24808,12429,11506,-,31317,55132,41249,45020,20705,"FW:5750, PI:9",11
Computer Science and Engineering,ADR,"College of Engineering, Adoor",N,19471,22509,22943,39348,40653,19622,24778,24725,58151,-,48838,-,28250,"FW:14605, MG:41648",11
Computer Science and Engineering,AEC,"College of Engineering of Aranmula, Pathanamthitta",N,48509,54662,57618,-,63059,50512,55793,-,-,-,61995,-,57974,FW:25270,11
Computer Science and Engineering,CEA,"College of Engineering, Attingal",N,29338,31536,33588,52378,58904,36133,33882,47334,65265,-,61598,-,42157,"FW:18978, MG:46961",11
Computer Science and Engineering,CEC,"College of Engineering, Cherthala",N,18828,22153,20387,27453,29211,23250,26619,-,31158,-,51907,-,32012,"FW:13558, MG:48995",11
Computer Science and Engineering,CEK,"College of Engineering,Kottarakkara, Kollam",N,43332,51469,49991,64843,54206,52103,55092,50490,-,-,62802,-,63045,MG:62367,11
Computer Science and Engineering,CEM,"College of Engineering Muttathara, Thiruvananthapuram",N,36435,48299,43231,49702,56983,45074,38027,47488,62008,-,59474,65186,62182,"CB:62547, FW:17942",11
Computer Science and Engineering,CHN,"College of Engineering,Chengannur",N,9492,12022,11170,18051,18130,12798,11818,19621,29908,24870,37496,-,15779,"FW:7727, MG:20099",11
